Static	Dynamic	Guided
0.0187916	0.0192829	0.0191886
0.0178587	0.0185614	0.0183192
0.0171806	0.0176219	0.0182566
0.0173192	0.0180776	0.0192993
0.0170805	0.0237186	0.0233941
0.0174549	0.0219444	0.0250928
0.0220095	0.0251801	0.0295667
0.0232764	0.0290287	0.0280737
0.0220787	0.0293383	0.0257665
0.0235761	0.0339645	0.0297332
0.0288592	0.0322222	0.0348731
0.0251001	0.0344097	0.0338569
0.0302514	0.0336486	0.03426
0.038334	0.0383189	0.0364168
0.0385594	0.038381	0.0375325
0.0366378	0.0388344	0.0375891
0.033291	0.0400379	0.0415573
0.0413225	0.0408613	0.0415893
0.0437281	0.0418826	0.0424934
0.0401258	0.043779	0.044015
0.0443761	0.04423	0.0460142
0.043955	0.0458246	0.0432794
0.0444729	0.0447235	0.0464959
0.0461639	0.0464661	0.0478032
