Static	Dynamic	Guided
0.0193749	0.0192929	0.019216
0.0153976	0.0221356	0.0154846
0.013147	0.0225197	0.0145053
0.0111184	0.0150993	0.0140736
0.0106692	0.0177167	0.013325
0.0144271	0.0186843	0.0175123
0.0159716	0.0225737	0.0207878
0.0179324	0.0240675	0.0250854
0.0180007	0.026952	0.0263294
0.0195592	0.0268802	0.0230491
0.0249043	0.0267492	0.0269764
0.0224387	0.0267075	0.0281567
0.0271688	0.0300737	0.0291246
0.0305385	0.0296231	0.0291387
0.0315736	0.0294613	0.0288733
0.031535	0.032888	0.0314364
0.0355752	0.0333517	0.0306165
0.0342379	0.0319093	0.0350336
0.0345763	0.0326869	0.0358425
0.0315353	0.0350797	0.0350502
0.0355693	0.0353906	0.0359285
0.0358205	0.0374912	0.0373986
0.0374128	0.0374065	0.0364466
0.0356183	0.0376091	0.0370226
