Static	Dynamic	Guided
0.0113624	0.0121047	0.0118827
0.0065226	0.00666332	0.0133809
0.00549583	0.00449098	0.00980708
0.00407039	0.00358802	0.00956589
0.00447314	0.00317366	0.0089107
0.003613	0.00287382	0.00897479
0.00351603	0.00281475	0.00873242
0.00791724	0.00292711	0.0117687
0.00321943	0.0025472	0.0084746
0.00326892	0.00260053	0.00664272
0.00329436	0.00279943	0.00528782
0.00305507	0.0030948	0.00490678
0.00366784	0.00312196	0.00504635
0.00299587	0.0029801	0.00462181
0.00342502	0.00283453	0.00455714
0.00315962	0.00282721	0.0183119
0.00293487	0.00305561	0.00456303
0.00294626	0.00325013	0.00447496
0.00339006	0.00336203	0.00414408
0.00334307	0.00341287	0.00404581
0.00342103	0.00295472	0.00417406
0.0033947	0.00286509	0.00424816
0.00396415	0.00364335	0.00390503
0.00318605	0.00352366	0.00427937
