Static	Dynamic	Guided
0.0115518	0.0117395	0.0116978
0.00680221	0.00651146	0.0117098
0.00612268	0.00488421	0.0105948
0.00420687	0.00363652	0.0097497
0.00405108	0.00314255	0.00927257
0.00358956	0.00268125	0.00928104
0.00349799	0.00247799	0.00910512
0.00308858	0.00231611	0.00876909
0.00318981	0.00255546	0.00886967
0.00325335	0.00233592	0.00758213
0.00322083	0.00260515	0.0058006
0.00307536	0.00265105	0.00563361
0.0030146	0.00244508	0.00552267
0.00327349	0.00273006	0.00528209
0.00335435	0.00253124	0.00512335
0.00329533	0.00317224	0.00510586
0.00283612	0.00284593	0.00498346
0.00302109	0.0026623	0.00509182
0.00333945	0.0027666	0.00463907
0.0030311	0.00271656	0.0045353
0.00304051	0.00285195	0.00441105
0.00319959	0.00308297	0.00431163
0.00382117	0.00315225	0.00435454
0.00298658	0.00309863	0.00434502
