Static	Dynamic	Guided
0.0115992	0.0118824	0.0117145
0.00846327	0.00908564	0.0107729
0.0067423	0.00646572	0.0105665
0.00521471	0.00494861	0.00976729
0.00459895	0.00418816	0.00964787
0.00409609	0.00365452	0.00926296
0.00418081	0.00330369	0.00917075
0.00409589	0.00301471	0.0088987
0.00426683	0.00287293	0.00898341
0.00376661	0.00278965	0.00734301
0.00392102	0.00269825	0.00574831
0.00391033	0.00252033	0.00557957
0.00381523	0.00262551	0.00530608
0.00393504	0.00255704	0.00530288
0.00411352	0.00264863	0.00518026
0.00353586	0.00296642	0.00501682
0.00393672	0.00272614	0.00492204
0.00385956	0.00296638	0.00509065
0.00375101	0.00297245	0.00456789
0.00409226	0.00289254	0.00461934
0.00390694	0.00311689	0.00436694
0.00380234	0.00285636	0.00447335
0.00369655	0.00315955	0.00445893
0.00373258	0.00317269	0.00444382
