Static	Dynamic	Guided
0.0115547	0.0129287	0.0119596
0.0108695	0.0158258	0.0160352
0.0106998	0.0166945	0.0171514
0.0119203	0.0166621	0.0172095
0.0116454	0.0174816	0.0168939
0.0114037	0.0180354	0.016379
0.0114489	0.0168621	0.017875
0.0124498	0.0165849	0.0167502
0.0122977	0.0165489	0.0165237
0.0123884	0.0164878	0.0171134
0.0132567	0.0170274	0.0182841
0.0131843	0.0168299	0.0166814
0.0123127	0.0167379	0.0168225
0.0127733	0.0167567	0.0172064
0.013296	0.0167322	0.0176664
0.0138941	0.0172626	0.0169232
0.0127337	0.0163858	0.0160706
0.0137668	0.0194159	0.0163084
0.0133565	0.0165708	0.0163181
0.0129796	0.0161862	0.016298
0.0121144	0.0163261	0.0159886
0.0112083	0.0159497	0.0161804
0.0114179	0.0156384	0.0158027
0.0112522	0.0155991	0.0159239
