Static	Dynamic	Guided
0.00290399	0.00421487	0.00448235
0.0028933	0.00299369	0.00423383
0.00409226	0.00289254	0.00461934
0.00325242	0.00298937	0.0044273
0.00312081	0.00285853	0.00444272
0.0030311	0.00271656	0.0045353
0.00307871	0.00282881	0.0044488999999999996
0.00311478	0.00288858	0.00437884
0.00281261	0.00290298	0.00448641
0.00324398	0.0037760999999999997	0.0043332
0.00377383	0.00498579	0.00501382
0.00601141	0.00910682	0.00910429
0.00659715	0.0102419	0.0104708
0.00781862	0.0124677	0.0123821
0.0105104	0.015553999999999998	0.015782
0.012979599999999999	0.016186199999999998	0.016298
