Static	Dynamic	Guided
0.0691884	0.0780566	0.0689762
0.0452723	0.0498719	0.0447958
0.0577029	0.0463193	0.0452282
0.0651774	0.05294	0.0480576
0.0657572	0.0557782	0.0466849
0.0636172	0.0554095	0.0443422
0.0650654	0.0654588	0.0425215
0.0635183	0.0628447	0.0413806
0.0631212	0.058872	0.0430776
0.0600137	0.0605103	0.0435756
0.0588643	0.0588755	0.0436853
0.0575111	0.0599126	0.0428915
0.0559778	0.0604458	0.0443999
0.0558601	0.0608951	0.0440302
0.0550788	0.0608032	0.0446904
0.0541842	0.0556924	0.0421328
0.0523346	0.0581947	0.0421724
0.0520749	0.059076	0.0412757
0.0514	0.0544667	0.0417746
0.0507439	0.058025	0.0420709
0.050508	0.0528334	0.0415409
0.050221	0.052322	0.0434771
0.0499778	0.0540493	0.0416065
0.0507197	0.0496504	0.0411267
