Static	Dynamic	Guided
0.0498587	0.0523149	0.0462734
0.0266831	0.0264023	0.0260348
0.0206095	0.0190088	0.0178681
0.0144534	0.0144105	0.0133318
0.0131195	0.0122948	0.0116072
0.0109392	0.0106212	0.0101458
0.00945206	0.00974225	0.00943689
0.00824024	0.00879779	0.00834938
0.00832964	0.00826579	0.00818296
0.00714715	0.00766056	0.00801512
0.00792157	0.0076213	0.00755367
0.00659496	0.0071849	0.00737688
0.00687798	0.0072197	0.00728144
0.00645257	0.00686952	0.00736852
0.00639327	0.0068764	0.00710808
0.00623125	0.00663853	0.00715274
0.00620712	0.00666711	0.00692039
0.00624821	0.00656681	0.00708668
0.00675333	0.00656563	0.00680175
0.00591379	0.00653459	0.00701848
0.0057707	0.00660154	0.00669035
0.00589854	0.00660415	0.0067672
0.00605915	0.00665707	0.00699287
0.00603856	0.00666103	0.00693933
