Static	Dynamic	Guided
0.00293413	0.00386858	0.00417166
0.00330438	0.0028461	0.0040114
0.00329236	0.00275384	0.00399171
0.00363982	0.00322712	0.00413761
0.0189479	0.00357892	0.00421409
0.0033946999999999996	0.00286509	0.00424816
0.003046	0.00287315	0.00429669
0.00299726	0.00295542	0.00415788
0.00309206	0.00329436	0.00412809
0.0322601	0.0326071	0.0323969
0.00382215	0.00447236	0.00440726
0.00620515	0.00827038	0.00835365
0.0358205	0.037491199999999995	0.0373986
0.039282	0.0397767	0.0384587
0.043955	0.0458246	0.0432794
0.043406099999999996	0.0430946	0.0429218
