Static	Dynamic	Guided
0.00341343	0.00392887	0.00411985
0.00305196	0.00282544	0.00386471
0.00392423	0.00358532	0.00419851
0.0037551999999999998	0.00344694	0.00408993
0.00350592	0.00280305	0.00388219
0.00396415	0.00364335	0.00390503
0.00299962	0.00289981	0.0040358
0.00313951	0.00341758	0.00414335
0.00307275	0.00317733	0.00414988
0.0325327	0.0317432	0.0322742
0.0039702	0.00441159	0.00437344
0.00649119	0.00881035	0.00826172
0.0374128	0.0374065	0.0364466
0.040508800000000005	0.038997500000000004	0.0384666
0.0444729	0.0447235	0.0464959
0.0445473	0.044479199999999997	0.044223
