Static	Dynamic	Guided
0.00466248	0.00551028	0.00833146
0.00406254	0.00386086	0.00803213
0.00431545	0.00303781	0.00869004
0.00382065	0.00301149	0.00844864
0.00337813	0.00272883	0.00854872
0.00321943	0.0025472	0.0084746
0.00302968	0.00264488	0.00818468
0.00344799	0.002997	0.00855346
0.0036282	0.00308425	0.00838108
0.0268105	0.0285072	0.0272872
0.00416423	0.00426684	0.00810451
0.00610839	0.008899500000000001	0.00858909
0.0180007	0.026951999999999997	0.026329400000000003
0.0222026	0.026659500000000003	0.025209799999999997
0.0220787	0.029338299999999998	0.0257665
0.0252801	0.028742300000000002	0.0298944
