Static	Dynamic	Guided
0.00351835	0.00454351	0.00441364
0.00336618	0.00309871	0.0045027
0.00377605	0.00316097	0.00467453
0.00372156	0.0034714	0.00477878
0.00344793	0.00304778	0.00460235
0.00342502	0.00283453	0.00455714
0.00300732	0.00337044	0.00449382
0.00293231	0.00294949	0.00468065
0.0030072	0.00338357	0.00462576
0.0298661	0.028844400000000003	0.0295995
0.00392676	0.00423714	0.00450552
0.00615616	0.00833219	0.00830145
0.0315736	0.0294613	0.0288733
0.0335519	0.0326312	0.0311255
0.0385594	0.038381	0.037532499999999996
0.0375787	0.0355601	0.038006599999999995
