Static	Dynamic	Guided
0.000796228	0.000824844	0.000820073
0.000460975	0.000433132	0.000455765
0.000351944	0.000327025	0.000342673
0.000301126	0.000244219	0.000272716
0.000321967	0.00024042	0.000250864
0.000241178	0.000220621	0.000230384
0.000227734	0.000228002	0.000224181
0.000219637	0.000221931	0.000221058
0.000220609	0.000227192	0.000226171
0.000215677	0.000222925	0.000224498
0.000220905	0.00022645	0.000223856
0.000217508	0.000223562	0.000223099
0.000222012	0.000224335	0.000228789
0.000219306	0.000225209	0.000224895
0.000221291	0.000224284	0.000229811
0.000216889	0.000224731	0.000222515
0.000231001	0.000224405	0.000226189
0.000221792	0.000224385	0.000224666
0.000219877	0.000229977	0.000238234
0.00022836	0.000228815	0.000233744
0.000233869	0.000228548	0.000232105
0.000219137	0.000226421	0.00022701
0.000230124	0.000245173	0.000236627
0.000226504	0.000236367	0.000235047
