Static	Dynamic	Guided
0.000741726	0.000799283	0.000745885
0.000465199	0.00091169	0.00043366
0.000385059	0.000645318	0.000353891
0.000297952	0.000527978	0.000300398
0.000281871	0.000445153	0.000267188
0.000257675	0.000376043	0.000241704
0.000241636	0.000338959	0.000232831
0.000226706	0.000312843	0.00021653
0.000204206	0.000281685	0.000210738
0.000240252	0.000274351	0.000205387
0.000192469	0.000250448	0.000194731
0.000188852	0.000259532	0.000185493
0.000180631	0.000237306	0.000184075
0.000181501	0.000251732	0.000176492
0.000188927	0.000284189	0.000177642
0.000165807	0.000215737	0.000171915
0.000166626	0.000275318	0.000175604
0.00015867	0.000216932	0.00016823
0.000152823	0.000211052	0.000172067
0.000150362	0.000280837	0.000170416
0.000173821	0.00022204	0.000172581
0.000148263	0.000208272	0.000165365
0.000165169	0.000213129	0.000172038
0.000159622	0.000215322	0.000167133
