Static	Dynamic	Guided
0.000714831	0.000732775	0.000729965
0.000646536	0.000657103	0.000658475
0.000669012	0.000650182	0.000658128
0.000623695	0.000653047	0.000649823
0.000709459	0.000687092	0.000690359
0.000676283	0.000675489	0.000689221
0.000705704	0.00069635	0.000699779
0.000694797	0.000695097	0.000707824
0.000691255	0.000722869	0.000721865
0.000694985	0.000707526	0.000710113
0.000723978	0.000741973	0.000723746
0.00069076	0.00071293	0.000712536
0.000707298	0.00073008	0.000714235
0.000691888	0.000724514	0.000708317
0.000733489	0.000722459	0.000718078
0.000724636	0.000707808	0.000709381
0.000716568	0.000722594	0.000724992
0.000697829	0.000710303	0.000714615
0.000696398	0.00074322	0.000718839
0.000705312	0.000715434	0.000718789
0.000831524	0.000735985	0.000744997
0.000693172	0.000716885	0.00072732
0.000741828	0.000759556	0.000784387
0.000711413	0.000727839	0.000718581
